title,price,model,
,,,
"
		Guitarra Tagima Tg 530 Cabo Correia Cubo Capa Palhetas Ofert
	","958,89",Stratocaster,"1262,49"
,,,
"
		Guitarra Strato Waldman Gtu1 Captação Dupla Time Brasileirão
	","303,6",GTU 1,
,,,
"
		Guitarra Tagima T635 Regulada Promoção! Musical Store
	","1128,99",T 635 Classic,
,,,
"
		Kit Contra Baixo Ativo Estilo Music Man Tagima Tbm 4c
	","1288,99",Music Man,
,,,
"
		Guitarra Tagima Memphis Mg 32 Kit Completo Oferta
	","748,99",Stratocaster,
,,,
"
		Guitarra Tagima Tg 530 Woodstock Vintage Oferta!
	","648,99",TG-530,
,,,
"
		Guitarra Esp/ltd Lf10k Bk Com Bag Preta Loja Mundo Da Música
	","1049,9",Lf10k,
,,,
"
		Kit Guitarra Epiphone Player Pack Les Paul Special Preta Bag
	","1789,9",Les Paul,
,,,
"
		Guitarra Tagima T635 Classic Branca Vintage Escala Escura Tt
	","1128,99",T-635 Classic,
,,,
"
		Contra Baixo Ativo Estilo Music Man Tagima Tbm 4 C Oferta!
	","758,99",Music Man,
,,,
"
		Guitarra Strinberg Les Paul Lps 230 Cherry Sunburst Oferta!
	","768,99",LPS230,
,,,
"
		Guitarra Stratocaster Squier By Fender Classic Vibe Green
	","4285,9",Classic Vibe,
,,,
"
		Guitarra Tagima Tg 530 Woodstock Branca Vintage Oferta!
	","648,99",Stratocaster,
,,,
"
		Ibanez Kiko Sp2 Guitarra Kiko Loureiro Oferta! Musical Store
	","2788,99",Kiko Loureiro Sp2,
,,,
"
		Guitarra Fender American Deluxe Stratocaster Burgundy + Case
	","9979,9",American Deluxe Series,
,,,
"
		Golden Gld150c Guitarra Les Paul Deluxe Preta - Frete Grátis
	","1072,99",GLD150C,
,,,
"
		Guitarra Esp Ltd M10 Lm10k Blk Preta Com Bag Grátis Promoção
	","1099,9",Lm10k,
,,,
"
		Guitarra Tagima Tg 530 Woodstock Regulada Oferta
	","618,99",TG-530,
